setting,subset,method,source,l2,mse,mae,de_spearman,pearson_delta,ds,pearson_delta_hat,pearson_delta_hat20,notes
norman_additive,,Control,scDFM-reported,3.9937,0.01839,0.03953,N.A.,N.A.,0.5135,-0.1695,-0.1297,
norman_additive,,Additive,scDFM-reported,1.9395,0.00448,0.02276,0.5564,0.9024,0.9686,0.8584,0.9244,
norman_additive,,scGPT,scDFM-reported,3.4112,0.01349,0.03796,1.07e-5,0.5304,0.5404,0.2165,0.2414,
norman_additive,,Geneformer,scDFM-reported,1.9132,0.00410,0.02360,0.3741,0.7732,0.8241,-0.0078,0.2239,
norman_additive,,GEARS,scDFM-reported,3.5531,0.01387,0.06624,0.5624,0.7421,0.8601,-0.0089,0.2032,
norman_additive,,CPA,scDFM-reported,5.7629,0.03435,0.07894,0.0713,0.3845,0.6021,-0.0039,0.2254,
norman_additive,,STATE,scDFM-reported,17.3330,0.30059,0.24705,0.5288,-0.0108,0.5135,-0.0069,0.2515,
norman_additive,,CellFlow,scDFM-reported,1.7064,0.00392,0.02207,0.5503,0.8678,0.9321,0.8395,0.8988,
norman_additive,,scDFM,scDFM-reported,1.7043,0.00315,0.02155,0.5705,0.8853,0.9737,0.8468,0.9260,
norman_holdout,Single,Control,scDFM-reported,2.6834,0.0095,0.0263,N.A.,N.A.,0.5217,0.1618,0.1982,
norman_holdout,Single,scGPT,scDFM-reported,2.5007,0.0080,0.0259,-0.1139,0.4503,0.5680,0.0747,0.0798,
norman_holdout,Single,GEARS,scDFM-reported,2.5641,0.0075,0.0466,0.3569,0.6646,0.8271,0.6356,0.7914,
norman_holdout,Single,Geneformer,scDFM-reported,1.6962,0.0036,0.0191,0.3669,0.6955,0.8070,0.5620,0.6513,
norman_holdout,Single,CPA,scDFM-reported,5.8060,0.0356,0.0853,0.1168,0.2837,0.5796,-0.0028,0.0802,
norman_holdout,Single,STATE,scDFM-reported,18.2543,0.3333,0.2693,0.6116,0.0004,0.5236,0.0154,0.2386,
norman_holdout,Single,CellFlow,scDFM-reported,1.6758,0.0035,0.0191,0.2860,0.7109,0.8072,0.6138,0.6753,
norman_holdout,Single,scDFM,scDFM-reported,1.6186,0.0030,0.0190,0.6957,0.7127,0.8914,0.6659,0.8116,
norman_holdout,Double,Control,scDFM-reported,4.1882,0.0207,0.0423,N.A.,N.A.,0.5322,-0.1303,-0.0265,
norman_holdout,Double,scGPT,scDFM-reported,3.5171,0.0153,0.0362,-0.0665,0.5693,0.5578,0.2814,0.2652,
norman_holdout,Double,GEARS,scDFM-reported,3.7458,0.0156,0.0708,0.2543,0.7552,0.8766,0.6407,0.8413,
norman_holdout,Double,Geneformer,scDFM-reported,2.0819,0.0050,0.0237,0.3468,0.7361,0.8067,0.6245,0.7261,
norman_holdout,Double,CPA,scDFM-reported,5.7891,0.0357,0.0796,0.3652,0.4176,0.6311,0.2432,0.2870,
norman_holdout,Double,STATE,scDFM-reported,18.4458,0.3404,0.2733,0.4071,0.0061,0.5289,-0.0023,0.2580,
norman_holdout,Double,CellFlow,scDFM-reported,2.1042,0.0049,0.0236,0.5074,0.8095,0.8622,0.6780,0.7155,
norman_holdout,Double,scDFM,scDFM-reported,2.0309,0.0047,0.0235,0.5676,0.8357,0.9189,0.7769,0.8688,
combosciplex,,Control,scDFM-reported,5.3716,0.0324,0.0698,N.A.,N.A.,0.5714,,,
combosciplex,,scGPT,scDFM-reported,1.6934,0.0031,0.0251,-0.1261,0.8322,0.8571,,,
combosciplex,,CPA,scDFM-reported,1.6592,0.0029,0.0240,0.7906,0.8150,0.8980,,,
combosciplex,,scDFM,scDFM-reported,1.6567,0.0028,0.0220,0.8289,0.8933,0.8776,,,
